string,string,string,string,string,string,string
id,author_id,title,content,yunlv_rule,author,dynasty
244330,9403,偈頌六十八首  其四二,海上明公秀，衲僧不知有。|冷地忽相逢，尋常無處討。|無處討，莫草草，龍王宮殿，有誰親到。,仄仄平平仄，仄平仄平仄。|仄仄仄○平，平平平仄仄。|平仄仄，仄仄仄，平○平仄，仄平○仄。,釋法薰,S
244331,9403,偈頌六十八首  其四三,臨際頂中髓，楊岐眼裏筋。|欲明這箇事，須還這箇人。|風前有路，秤尾無星。|大家贏得笑忻忻，笑道秤尾無星。,○仄仄○仄，平平仄仄平。|仄平？仄仄，平平？仄平。|平平仄仄，○仄平平。|仄平平仄仄平平，仄仄○仄平平。,釋法薰,S
244332,9403,偈頌六十八首  其四四,刀不自割，水不自洗。|山僧拄杖化爲龍，吞却乾坤大地。,平仄仄仄，仄仄仄仄。|平平仄仄仄平平，平仄平平仄仄。,釋法薰,S
244333,9403,偈頌六十八首  其四五,春花爛漫，春光欲暮。|杜宇聲聲，送春歸去。|諸人何不向這裡眼明心悟。,平平仄仄，平平仄仄。|仄仄平平，仄平平仄。|平平平仄仄？仄仄平平仄。,釋法薰,S
244334,9403,偈頌六十八首  其四六,明如鏡，黑如漆。|四七二三，多虛少實。|靈山拄杖，且拈靠壁。,平○仄，仄○仄。|仄仄仄○，平平仄仄。|平平仄仄，○平仄仄。,釋法薰,S
244335,9403,偈頌六十八首  其四七,非不非，是不是。|建立則乖張，掃除則失旨。|德山臨際出來，換却髑髏裏底。,平仄平，仄仄仄。|仄仄仄平○，仄○仄仄仄。|仄平○仄仄平，仄仄仄平仄仄。,釋法薰,S
244336,9403,偈頌六十八首  其四八,九十日已過半，那事畢竟如何。|直饒窮到底，終是涉風波。,仄仄仄仄○仄，仄仄仄仄○平。|仄平平仄仄，平仄仄平平。,釋法薰,S
244337,9403,偈頌六十八首  其四九,不識字却識字，合識字却不識字。|石田恁麽判斷，且道意在於何。|萬人爭仰處，一箭落雙鵰。,仄仄仄仄仄仄，仄仄仄仄仄仄仄。|仄平仄○仄仄，○仄仄仄平平。|仄平平仄仄，仄仄仄平平。,釋法薰,S
244338,9403,偈頌六十八首  其五○,青山不舉步，日下不挑燈。|黄頭碧眼，臭肉生蠅。|諸人三十年後悟去，不得錯怪老僧。,平平仄仄仄，仄仄仄○平。|平平仄仄，仄仄平平。|平平○仄平仄仄仄，仄仄仄仄仄平。,釋法薰,S
244339,9403,偈頌六十八首  其五一,德山雨點棒，臨際雷奔喝。|收拾將來，七零八落。|靈山咬定牙關，盡力也難提掇，睦州拶折雲門脚。,仄平仄仄仄，○仄平平仄。|○仄○平，仄平仄仄。|平平○仄平平，仄仄仄○平仄，仄平仄○平平仄。,釋法薰,S
244340,9403,偈頌六十八首  其五二,時時九夏，日日三秋。|閙市裏，百草頭。|夾山老子賣峭，重價未有輕酬。,平平仄仄，仄仄○平。|仄仄仄，仄仄平。|仄平仄仄仄仄，○仄仄仄○平。,釋法薰,S
244341,9403,偈頌六十八首  其五三,目前無法，意在目前。|從上若佛若祖，天下老和尚罪過彌天。|天，天，昨夜山僧針線囊中，打失一文古老錢。,仄平平仄，仄仄仄平。|○仄仄仄仄仄，平仄仄○仄仄○平平。|平，平，仄仄平平平仄平○，仄仄仄平仄仄○。,釋法薰,S
244342,9403,偈頌六十八首  其五四,西來無意，直指無旨。|引得癡兒，盡卧冷地。,平平平仄，仄仄平仄。|仄仄平平，仄仄仄仄。,釋法薰,S
244343,9403,偈頌六十八首  其五五,月旦陞堂，無可垂示。|便恁麽散去，諸人未必靈利。|且向秤鎚上，捏出些子汁，貴圖有箇滋味。|見之不取，思之千里。,仄仄平平，平仄平仄。|仄仄○仄仄，平平仄仄平仄。|○仄○平仄，仄仄○仄仄，仄平仄仄平仄。|仄平仄仄，○平平仄。,釋法薰,S
244344,9403,偈頌六十八首  其五六,曲曲彎彎，平平坦坦。|七穿八穴，十字縱橫。|是汝諸人，不妨東行西行，第一莫教撞著跛脚老雲門。,仄仄平平，平平仄仄。|仄○仄仄，仄仄仄○。|仄仄平平，仄○平○平○，仄仄仄○仄仄仄仄仄平平。,釋法薰,S
244345,9403,偈頌六十八首  其五七,意到句到，宗通說通。|一品二品，百匝千重。|推倒面前案山子，長衫大袖舞春風。|窮鬼子，莫莫莫，更須知有朱頂王菩薩。,仄仄仄仄，平平仄平。|仄仄仄仄，仄仄平○。|平仄仄平仄平仄，○平仄仄仄平平。|平仄仄，仄仄仄，○平平仄平仄○？仄。,釋法薰,S
244346,9403,偈頌六十八首  其五八,靈隠門下，不犯之令。|九十日中，頭正尾正。|衲僧路活，脚下生煙，老僧終不學雲門索飯錢。,平仄平仄，仄仄平仄。|仄仄仄○，平○仄○。|仄平仄仄，仄仄平平，仄平平仄仄平平仄仄○。,釋法薰,S
244347,9403,偈頌六十八首  其五九,大小大香巖，尾巴拖地。|靈隠一機，全無所示。|若也不會，投子道底。,仄仄仄平平，仄平仄仄。|平仄仄平，平平仄仄。|仄仄仄仄，平仄仄仄。,釋法薰,S
244348,9403,偈頌六十八首  其六○,入室陞堂，門庭施設。|無途轍中，翻成途轍。|百丈老常得一橛，解道喫茶珍重歇。,仄仄平平，平○仄仄。|平平仄○，平平平仄。|仄仄仄平仄仄仄，仄仄仄○平○仄。,釋法薰,S
244349,9403,偈頌六十八首  其六一,放下覓無蹤，盡力提不起。|寸鐵未施，刀鏘滿地，明眼衲僧失巴鼻。,仄仄仄平平，仄仄平仄仄。|仄仄仄仄，平平仄仄，平仄仄平仄平仄。,釋法薰,S
244350,9403,偈頌六十八首  其六二,德山棒頭短，臨濟喝聲低。|不傷物義句，趙州東院西。,仄平仄平仄，○仄仄平平。|仄平仄仄仄，仄平平仄平。,釋法薰,S
244351,9403,偈頌六十八首  其六三,全提半提，向上向下，冷泉直是口啞。|真人面前，不得說假。,平平仄平，仄仄仄仄，仄平仄仄仄仄。|平平仄平，仄仄仄仄。,釋法薰,S
244352,9403,偈頌六十八首  其六四,說短說長，自起自倒。|跛脚老雲門，慈悲成過咎。|長安一路坦然平，往來曾不禁人行。,仄仄仄○，仄仄仄仄。|仄仄仄平平，平平平○仄。|○平仄仄仄平平，仄平平仄○平○。,釋法薰,S
244353,9403,偈頌六十八首  其六五,秋聲滿林壑，秋雨滴梧桐。|門外未歸客，飄泊在途中。|歸也，歸也，通身白汗，下載清風。,平平仄平仄，平仄仄平平。|平仄仄平仄，平仄仄平○。|平仄，平仄，平平仄仄，仄仄平平。,釋法薰,S
244354,9403,偈頌六十八首  其六六,趙州禪，口皮邊。|牆外底，透長安。|,仄平○，仄平平。|平仄仄，仄○平。|仄仄仄仄，平平仄平。|仄仄仄平仄，平○仄仄平。,釋法薰,S
244355,9403,偈頌六十八首  其六七,松柏千年青，不入時人意。|牡丹一日紅，滿城公子醉。,平仄平平平，仄仄平平仄。|仄平仄仄平，仄平平仄仄。,釋法薰,S
244356,9403,偈頌六十八首  其六八,採藥與用藥，相逢一會家。|殺人活人不眨眼，白玉無瑕却有瑕。,仄仄仄仄仄，○平仄仄平。|仄平仄平仄仄仄，仄仄平平仄仄平。,釋法薰,S
244357,9403,拈古十四首  其一,即心即佛，甜瓜甜徹蒂。|非心非佛，苦瓠苦連根。|不是心，不是佛，不是物，斫却月中桂，清光迸海門。|箇裏若能開正眼，一毫頭上定乾坤。,仄平仄仄，平平平仄仄。|平平平仄，仄○仄平平。|仄仄平，仄仄仄，仄仄仄，仄仄仄○仄，平平仄仄平。|仄仄仄平平○仄，仄○平仄仄平平。,釋法薰,S
244358,9403,拈古十四首  其二,聞聲悟道，見色明心。|林鴆砧，井底種林擒。|今年桃李貴，一顆直千金。,○平仄仄，仄仄平平。|平仄平，仄仄仄平平。|平平平仄仄，仄仄仄平平。,釋法薰,S
